id,condition_id,support_id,city_id,payment,age_id,url,payment_limit,payment_frequency,payment_month,transfer_destination,user_application_limit,user_renewal_method,user_renewal_month,contact_information
27,27,20,7,141600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
28,28,20,7,141600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
29,29,20,7,141600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
30,30,20,7,177600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
31,31,20,7,177600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
32,32,20,7,177600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
33,33,20,7,177600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
34,34,20,7,193200,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
35,35,20,7,193200,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
36,36,20,7,193200,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
37,37,20,7,193200,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
38,38,20,7,21600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
39,39,20,7,21600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,,,,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
40,40,20,7,21600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
41,41,20,7,21600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
42,42,20,7,48000,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
43,43,20,7,48000,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
44,44,20,7,48000,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
45,45,20,7,48000,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
46,46,20,7,186000,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
47,47,20,7,186000,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
48,48,20,7,186000,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
49,49,20,7,186000,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
50,50,20,7,21600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
51,51,20,7,21600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
52,52,20,7,21600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
53,53,20,7,21600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
54,54,20,7,21600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
55,55,20,7,21600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
56,56,20,7,21600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
57,57,20,7,21600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
58,58,20,7,178800,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
59,59,20,7,178800,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
60,60,20,7,178800,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
61,61,20,7,178800,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
62,62,20,7,21600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
63,63,20,7,21600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
64,64,20,7,21600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
65,65,20,7,21600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
66,66,20,7,21600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
67,67,20,7,21600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
68,68,20,7,21600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
69,69,20,7,21600,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
70,70,20,7,118800,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
71,71,20,7,118800,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
72,72,20,7,118800,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
73,73,20,7,118800,1,https://www.city.taito.lg.jp/kosodatekyouiku/yochien/shiritsuyochien/hogoshahojo.html,1,3,"9月中旬(4~6月分),12月中旬(7~9月分),翌年3月(10-12月分),翌年6月中旬(1-3月)",指定した口座,記載なし,記載なし,記載なし,"庶務課庶務係 私立幼稚園担当,電話：03-5246-1236,ファクス：03-5246-1409"
